01.99.0001.001	Many times colonies < lose >  weight  while they are ' hired ' out to pollinate a crop . 
01.99.0002.003	Furthermore , damaged grain rapidly < loses > dry matter  weight  in storage ! 
01.99.0003.002	" If they can spend less time in a lorry or hanging around at the abattoir they obviously don't < lose > as much  weight  as they would otherwise . 
01.99.0003.002	" If the lambs we have seen here today were transported to the middle of England or north Wales and had been standing around waiting to be slaughtered the following day they would naturally < lose >  weight  . " 
01.99.0004.002	Phoebe had < lost > half her  weight  , had lice and sarcoptic mange . 
01.99.0005.002	On this week 's Market Journal broadcast Extension Forage Specialist Bruce Anderson explains why improperly stored hay quickly < loses >  weight  and nutrients over a short time and how producers can protect their investment for the long-term . 
01.99.0005.003	Be sensible when you are < losing >  weight  . 
01.99.0005.003	Egg production is reduced , and heavily infested birds refuse to eat and gradually < lose >  weight  . 
01.99.0005.005	The Environmental Quality Incentives Program , EQIP , the fat hog that livestock integrators tap to mostly clean up their manure messes , < lost > just one  pound  of flesh , $ 25 million of its $ 1 billion funding . 
01.99.0006.003	I 'm down 12 pounds ; not a bad thing , but there are better , less painful ways to < lose >  weight  - like cutting off my left arm . 
01.99.0006.003	In addition to the old standards of < losing > some  weight  , getting more exercise , and keeping the house a little neater ( all , admittedly , much needed ! 
01.99.0006.006	" They 'll go off feed and < lose >  weight  , but they 'll come back . " 
01.99.0009.006	<Losing >  weight  switches off some weight genes , canceling their effect on the genes that affect blood lipid levels . 
01.99.0009.006	The researchers concluded it 's more important for overweight men to < lose >  weight  than to change the fat content of their diets . 
01.99.0009.015	The reason : Weanling mice ate less and < lost >  weight  on a diet containing 15 percent jojoba meal . 
01.99.0009.021	The isolated piglets < lost > more  weight  than the transported piglets , and their glucose levels were lower . 
01.99.0009.023	For the first 3 weeks , the volunteers ate a stabilization diet , which determined how many calories they could consume every day without either gaining or < losing >  weight  . 
01.99.0009.036	He < lost > about 200  pounds  of cotton an acre because he didn't harvest exactly when the cotton was ready . 
01.99.0009.039	During the study , volunteers who exercised maintained their body weight , but nonexercisers < lost > about 7.7  pounds  . 
01.99.0009.042	In other words , they want to see whether the grains will have a positive effect on health even if people are not < losing >  weight  . 
01.99.0009.046	" But until we do a really comprehensive study in which we have humans drink tea and see whether they < lose >  weight  , we can't actually say that green tea makes people lose weight . 
01.99.0009.046	" But until we do a really comprehensive study in which we have humans drink tea and see whether they lose weight , we can't actually say that green tea makes people < lose >  weight  . 
01.99.0010.003	An ARS research study in Boston found that a low-fat , low-calorie regimen may not only help Americans < lose >  weight  , but may also boost the immune system . 
01.99.0011.026	And , there 's new hope for people trying to < lose >  weight  . 
01.99.0011.031	" When it leaves , this 50,000 pounds is more expensive because we just < lost > 40,000  pounds  of product that other processors are selling . 
01.99.0012.026	When we urge consumers to drink milk , we tell them to ' drink your miracle / Can you think of anything else that helps consumers < lose >  weight  , prevent certain cancers and cavities , lowers blood pressure and lowers the risk of type 2 diabetes ? 
01.99.0012.027	The program resulted in participants < losing > about a  pound  each week . 
01.99.0012.029	For the first time since 1998 , Americans overall have actually < lost >  weight  . 
01.99.0012.030	Ironically , consumers ' fervent desire to < lose >  weight  and lead healthier lives might actually be working against milk . 
01.99.0013.001	The study found they < lost >  weight  in the form of fat and preserved lean muscle mass . 
01.99.0013.001	" It 's a new way to think about getting three glasses of milk to help consumers understand how they can < lose >  weight  , " McGarity says . 
01.99.0013.001	" We 've done lots of testing and found the idea that milk can help you < lose >  weight  because it 's a compelling message . 
01.99.0013.001	It 's a more effective way to < lose >  weight  , " she says . 
01.99.0013.002	Despite an increase in cholesterol , he actually < lost > three  pounds  , decreased his fat mass and dropped a half-inch around the waist . 
01.99.0013.002	Perhaps he would have < lost > more  weight  and stemmed his rising LDLs had he teamed his milk with more diverse dining options now and then - which , by the way , is what he had been doing all along . 
01.99.0013.003	And then there 's the discovery that eating lowfat dairy products such as yogurt can help consumers < lose >  weight  . 
01.99.0013.007	The study shows that when , cutting calories to < lose >  weight  , three servings of milk , cheese or yogurt each day actually help people burn more fat and lose more weight than just cutting calories alone . 
02.01.0004.016	You click on the box at the top right hand corner labelled ' Yahoo movies exclusive ' and you go to Today@Yahoo movies and an advertisement about how to < lose > 10  pounds  . 
